COD_CURSO;NOME_CURSO;AREA_CONHECIMENTO;ANO_EVASAO;PERIODO_EVASAO;FORMA_EVASAO;COTISTA;TIPO_COTA;SEXO;ET_BRANCA;ET_PRETA;ET_AMARELA;ET_PARDA;ET_INDIGINA;ET_NAO_INFORMADO;ET_NAO_DECLARADA;QTDE
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2020;1º Semestre;Desistência;S;Baixa Renda e PPI;F;0;0;0;3;0;0;0;3
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2020;1º Semestre;Desistência;S;Baixa Renda e PPI;M;0;0;0;2;0;0;0;2
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2020;1º Semestre;Desistência;S;Renda Normal e Não PPI;M;2;0;0;0;0;0;0;2
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2020;1º Semestre;Desistência;S;Renda Normal e PPI;F;0;0;0;1;0;0;0;1
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2020;1º Semestre;Desistência;S;Renda Normal e PPI;M;0;2;0;0;0;0;0;2
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2020;1º Semestre;Desligamento: Resolução 68/2017-CEPE;N;Ampla concorrência;M;1;0;0;0;0;0;0;1
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2020;1º Semestre;Formado;N;Ampla concorrência;F;3;1;0;0;0;0;0;4
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2020;1º Semestre;Formado;N;Ampla concorrência;M;3;0;0;1;0;0;0;4
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2020;1º Semestre;Formado;S;Baixa Renda e Não PPI;M;1;0;0;0;0;0;0;1
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2020;1º Semestre;Formado;S;Reserva;F;1;0;0;0;0;0;0;1
10 B;Física - Bacharelado;Ciências naturais, matemática e estatística;2020;1º Semestre;Reopção de Curso;N;Ampla concorrência;M;1;0;0;1;0;0;0;2
